title,author,viaf_url,country,date_banned,source,note
My Fight for Birth Control,"Sanger, Margaret",http://viaf.org/viaf/64013684,Ireland,1953,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=115,Contraception
Women in Love,"Lawrence, D. H.",http://viaf.org/viaf/95150359,USA,1922,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=117,Work was seized but not banned
Lady Chatterley's Lover,"Lawrence, D. H.",http://viaf.org/viaf/95150359,USA,1944,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,Prosecuted
The Rainbow,"Lawrence, D. H.",http://viaf.org/viaf/95150359,England,1929,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=117,
Love among the Haystacks,"Lawrence, D. H.",http://viaf.org/viaf/95150359,USA,1953,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=118,Blacklisted
Elmer Gantry,"Lewis, Sinclair",http://viaf.org/viaf/39380311,USA,1927,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=118,
Elmer Gantry,"Lewis, Sinclair",http://viaf.org/viaf/39380311,Ireland,1929,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=119,
Ann Vickers,"Lewis, Sinclair",http://viaf.org/viaf/39380311,Ireland,1953,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=119,
The Well of Loneliness,"Hall, Radclyffe",http://viaf.org/viaf/41960584,England,1928,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=120,Withdrawn from sale
The Well of Loneliness,"Hall, Radclyffe",http://viaf.org/viaf/41960584,USA,1929,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=120,
Female,"Clarke, Donald Henderson",http://viaf.org/viaf/58674209,USA,1933,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=121,Sued but dismissed
Strange Interlude,"O'Neill, Eugene",http://viaf.org/viaf/24615441,USA,1928,https://en.wikipedia.org/wiki/Strange_Interlude,Banned in certain cities
Tropic of Cancer,"Miller, Henry",http://viaf.org/viaf/59086729,USA,1934,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=123,
Antic Hay,"Huxley, Aldous",http://viaf.org/viaf/71392434,USA,1930,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=124,
Point Counter Point,"Huxley, Aldous",http://viaf.org/viaf/71392434,Ireland,1930,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=124,
Brave New World,"Huxley, Aldous",http://viaf.org/viaf/71392434,Ireland,1932,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=124,
Eyeless in Gaza,"Huxley, Aldous",http://viaf.org/viaf/71392434,Ireland,1936,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=124,
Memoirs of Hecate County,"Wilson, Edmund",http://viaf.org/viaf/61553881,USA,1946,https://archive.org/details/literaturesuppre00sova_0/page/126/mode/2up,
Sanctuary,"Faulkner, William",http://viaf.org/viaf/39376770,USA,1949,https://archive.org/details/literaturesuppre00sova_0/page/162/mode/2up,Prosecuted
The Wild Palms,"Faulkner, William",http://viaf.org/viaf/39376770,USA,1948,https://archive.org/details/literaturesuppre00sova_0/page/212/mode/2up,Prosecuted
Pylon,"Faulkner, William",http://viaf.org/viaf/39376770,USA,1954,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=126,
A Farewell to Arms,"Hemingway, Ernest",http://viaf.org/viaf/97006051,USA,1929,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=128,
The Sun Also Rises,"Hemingway, Ernest",http://viaf.org/viaf/97006051,USA,1930,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=128,
To Have and Have Not,"Hemingway, Ernest",http://viaf.org/viaf/97006051,USA,1938,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=129,Removed from public sale
A Farewell to Arms,"Hemingway, Ernest",http://viaf.org/viaf/97006051,Ireland,1939,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=129,
The Sun Also Rises,"Hemingway, Ernest",http://viaf.org/viaf/97006051,Ireland,1953,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=129,
